654 CASSAT AVE,Normandy
6651 OLD WINTER GARDEN RD,Metro West
10220 LOUETTA RD,None
3624 N POWER RD,Mesa North
11250 E VIA LINDA SUITE 101,None
1550 W VALENCIA RD,Valencia
19003 N RH JOHNSON BLVD. SUITE 102,None
1702 KUSER RD,Kuser
5775 FM 423,Frisco Southwest
3425 CLIFF SHADOWS PKWY,Cliff Shadows
500 E STACY RD,Allen
100 N WHITE HORSE PIKE,None
1550 SCHOOL ST TOMBALL,None
106 NATE WHIPPLE HWY,None
16440 E ARAPAHOE RD,Foxfield
731 W BELT LINE RD,DeSoto
2002 HOGBACK RD STE 3,None
16185 SPACE CENTER BLVD,Space Center
433 W VAN BUREN ST,None
22 US ROUTE 41,None
31 PINE ST,Pondville Medical Associates
235 MEDICAL BLVD,Advanced Internal Medicine LLC Stockbridge
302 HWY 3 S,None
3505 UNIVERSITY BLVD W,University
20266 N LAKE PLEASANT RD. SUITE 105,None
10795 BROADWAY,Crown Point
8910 JONES RD,None
20266 N LAKE PLEASANT RD,Peoria
6025 PROFESSIONAL PKWY STE 200,None
6467 WOODLANDS PKWY,The Woodlands
3331 E BASELINE RD,None
1335 E WHITESTONE BLVD,None
8469 E MCDONALD DR,Scottsdale Central
5435 FIVE FORKS TRICKUM RD,Stone Mountain
1300 RIVERSIDE AVE,None
5000 TEASLEY LN,Denton
422 N. CENTER STREET,None
250 W CHANDLER HEIGHTS RD,None
151 W LAKE ST,CSU Urgent Care
1801 FM 1765 LA MARQUE,None
13014 W. CAMELBACK RD. SUITE 102,None
10220 LOUETTA RD STE 100,None
12660 10 MILE RD,None
6122 BROADWAY ST,East Pearland
600 N SHEPHERD DR.,None
5950 BROADWAY BLVD GARLAND,None
27275 HAGGERTY ROAD SUITE 500,None
550 AMHERST ST,Nashua
14405 BEACH BLVD,Jacksonville East
9230 E MAIN ST,Mesa East
24917 FM 1314 RD,Porter
6015 SW HIGHWAY 200,None
11600 S ORANGE BLOSSOM TRL,Orange Blossom
4615 FAIRMONT PKWY  PASADENA,None
2440 S IRONWOOD DR,Apache Junction
1315 E CHANDLER BLVD,None
1625 FOXTRAIL DR,Foxtrail
4553 N SHALLOWFORD RD DUN,None
835 E 17TH AVE,Longmont
1161 BRIDGE ST,Lowell North
1000 S 12TH ST MURRAY,None
13723 N LITCHFIELD RD,Surprise
4710 E ROSE GARDEN LN,None
4395 KIMBALL BRIDGE RD,Kimball Bridge
4534 WEST GATE BLVD #113,None
1261 S GESSNER,None
1620 NOOSENECK HILL RD,Coventry Reservoir
6800 W INTERSTATE 10,None
31 PINE STREET NORFOLK,None
200 W STATE ROAD 436,Altamonte Springs
6820 E BROWN RD,None
13700 E COLONIAL DR,Avalon Park
2580 SANDY PLAINS ROAD,None
11994 RICHMOND AVE,Westchase
4646 N MARINE DR,None
6401 CYPRESSWOOD DR SPRING,None
4400 S HWY 27,None
3445 PEACHTREE RD NE,None
1760 E. PECOS RD. SUITE 102,None
2451 HAMPTON RD,Hampton
1625 RIDENOUR BLVD NW STE 305,None
21106 KUYKENDAHL RD,Kuykendahl
11619 SHADOW CREEK PKWY SUITE 110,None
5281 CLARK RD,Clark
1760 E PECOS RD,None
15650 W GREENFIELD AVE,Brookfield
11207 N LAMAR BLVD,Evergreen Family Practice
5903 ORANGE BLOSSOM TRL,None
76 W GUADALUPE RD,Gilbert North
6002 E MAIN ST,Mesa Central
1821 FM 685,Pflugerville
10121 SEMINOLE BLVD,Seminole North
333 SCHOOL ST,Nardone Medical Associates
2614 S COLLEGE AVE,South College
11430 BEACH BLVD,St. Johns Bluff
619 S 8TH ST,None
12702 BAMMEL N,None
6017 INGRAM RD,Ingram
422 N CENTER ST,None
7885 E SPEEDWAY BLVD.,None
1225 E RIDGE RD GRIFFITH,None
8810 ANTOINE DR,Inwood
4702 N JIM MILLER RD,Southeast Dallas
750 WASHINGTON ST,Weymouth
2950 GEORGE DIETER DR,Sandy Creek
2401 W LEDBETTER DR,Oak Cliff
3298 S JOHN YOUNG PKWY,Kissimmee South
1351 W 43RD ST,Heights
5340 SOUTEL DR,Lincoln Villas
1335 E WHITESTONE BLVD SUITE 100,None
10997 FUQUA ST,Southbelt
1298 HOOKSETT RD,Hooksett
35553 US HIGHWAY 19 N,Palm Harbor
101 W ARDICE AVE,None
3970 DEPUTY BILL CANTRELL RD,None
465 WINN WAY,Capstone (ATL) - Decatur
12702 BAMMEL NORTH,None
2010 CITRUS BLVD,Leesburg
4543 POST OAK PLACE DR,None
1600 PRESTON RD PLANO,None
29660 N TATUM BLVD,None
1890 N STONEBRIDGE DR,Caring Partner Medical Clinic
404 ROUTE 73 N,None
5709 GUNN HWY,Citrus Park
22024 PONTIAC TRAIL,South Lyon
7546 103RD ST,None
5870 S KIPLING PKWY,Littleton
7929 KIRBY DRIVE,None
54 S NORTHWEST HWY,Palatine
6520 WESTHEIMER RD,Westheimer
10705 W. INDIAN SCHOOL RD. SUITE. 100,None
1490 US HIGHWAY 41 BYP S,None
155 SCHOOL ST,Tomball
9450 HAMMERLY BLVD,Spring Branch
5 PATRICIA AVE,Dunedin
15200 SOUTHWEST FWY,None
1651 W UNIVERSITY DR,McKinney Northeast
20051 E SMOKY HILL RD,Smoky Hill
11904 OAK CREEK PKWY,Huntley
1307 FM 1092 ROAD SUITE A,None
8585 BROADWAY ST,None
1985 E CHANDLER BLVD,Chandler East
29409 HAGGERTY RD,None
17347 VILLAGE GREEN DR,Jersey Village
9511 HUFFMEISTER RD,None
8301 W CAMELBACK RD,None
8030 N 19TH AVE,None
4360 E BROWN RD,None
7546-1 103RD ST,Oak Hill
3046 ROUTE 38,Mt. Laurel
550 S MESA HILLS DR,South Mesa Hills
8955 N TARRANT PKWY,North Richland Hills
1020 N COLLINS ST,Central Arlington
2845 W CLEVELAND ROAD EXT,None
1600 PRESTON RD,Preston Park
215 BEACH ST,Malden
982 TIOGUE AVE,Ocean State Urgent Care Coventry
7885 E SPEEDWAY BLVD,Tucson East
3048 E BASELINE RD,None
1620 N 59TH AVE,None
1821 FM 685 PFLUGERVILLE,None
1460 N HALSTED ST,Lincoln Park
601 CLARA BARTON BLVD,DIMGS
3003 N CENTRAL AVE,None
303 CHARLIE WATTS DR,Dallas
7080 VIRGINIA PKWY,McKinney West
22024 PONTIAC TRL,None
S70W15775 JANESVILLE RD,Muskego
6205 WESTCREEK DR,Wedgewood
76 W. GUADALUPE RD.,None
181 S CLAYTON ST,Lawrenceville
2155 POST OAK TRITT RD NE,None
5610 CENTENNIAL CENTER BLVD,Centennial
6360 E EVANS AVE,Virginia Village
5421 W. THUNDERBIRD RD. SUITE. 110,None
6901 SAN PEDRO AVE,San Pedro
2745 DEKALB MEDICAL PKWY,None
1090 PEACHTREE INDUSTRIAL BLVD,Suwanee
4615 FAIRMONT PKWY,Fairmont
750 FLETCHER DR ELGIN,None
1387 PLAINFIELD ST,None
9910 W 55TH COUNTRYSIDE,None
2221 FULTON ST,Northside Village
1825 E WARNER RD,Tempe
3350 CENTRAL AVE,None
4585 RESEARCH FOREST DR,Research Forest
901 E BITTERS RD,None
385 COTTAGE ST,Cottage
14541 W INDIAN SCHOOL RD,None
590 CROSS KEYS RD,Sicklerville
10152 LAKE JUNE RD,Pleasant Grove
12145 SAN JOSE BLVD,San Jose
8996 STACY RD,McKinney Central
101 W SOUTHMORE AVE,Pasadena Northwest
19003 N R H JOHNSON BLVD,Sun City West
121 MAIN ST,Foxboro
3910 E 22ND ST,Reid Park
189 MEDICAL WAY,Advanced Internal Medicine LLC Riverdale
10240 W INDIAN SCHOOL RD,None
4300 POST RD,None
601 S GREEN VALLEY PKWY,Henderson
901 LEGACY DR,Plano Northeast
7224 MERRILL RD,None
5525 E RIVER RD,River
3551 CASSOPOLIS ST,None
2353 OCOEE APOPKA RD,Ocoee
4021 CROSS TIMBERS RD,Flower Mound
682 S 8TH ST,None
11525 S HIGHWAY 6,None
6097 BROADWAY ST,None
77 FRANKLIN ST,Ocean State PCC Westerly
22 US HIGHWAY 41,Schererville
22024 PONTIAC TRL SPC 2,None
7579 N LOOP 1604 W,None
1733 MACLAND RD SW,Macland SW
4096 MARINER BLVD,Spring Hill
120 W SLAUGHTER LN,Congress
410 OLD POLK CITY RD,None
14405 BEACH BOULEVARD,None
1902 N JUPITER RD,Garland West
2190 W DRAKE RD,West Drake
1110 TAMIAMI TRL N,Nokomis
2845 W CLEVELAND RD,South Bend Northwest
3690 N GARFIELD AVE,Loveland
42931 7 MILE RD,None
2483 E FLORENCE BLVD,Casa Grande
10090 RUSHING RD,Rushfair
3970 DEPUTY BILL CANTRELL,Morrow Family Medicine - Cumming
300 S PHELPS DR,None
1504 53RD AVE E,Bradenton South
2140 MENDON RD,None
12959 ALDINE WESTFIELD RD,Aldine
13911 NINE EAGLES DR,Nine Eagles
7448 W THUNDERBIRD RD. SUITE 105,None
10705 W INDIAN SCHOOL RD,Avondale
14529 MANCHESTER RD,Manchester West
2200 E HOUSTON ST,Eastside Promise
620 N PONTIAC TRL,None
18433 N 19TH AVE,None
1832 FM 646 RD W,Dickinson
4324 GOLDEN TRIANGLE BLVD,Keller
8045 N LOOP DR,Mission Valley
6401 CYPRESSWOOD DR,Capstone (HOU)
11619 SHADOW CREEK PKWY,None
3601 W WILLIAM CANNON DR,Sunset Valley
4007 BARKER CYPRESS RD,None
129 VISION PARK BLVD,None
631 SHORE RD,Somers Point Shore
12120 JONES RD STE D,None
7445 W BELL RD,None
400 PUTNAM PIKE,Ocean State UCC Smithfield
800 W BAY DR,None
2103 FM 2920 RD,Spring
1602 N EXPRESSWAY,Griffin North
1581 AUSTIN HWY,Alamo Heights
525 BOSTON POST RD E,None
6495 N DECATUR BLVD,North Decatur
36515 STATE ROAD 54,None
12020 CULEBRA RD,None
606 VALLEY ST,Manchester
6350 DAVIS BLVD,North Richland Hills Central
13734 STATE HIGHWAY 249,None
21820 KATY FRWY,None
4360 BELLS FERRY RD NW,Bells Ferry
1616 E THOMAS RD,None
624 WAVERLY ST,Framingham
21212 E OCOTILLO RD,Queen Creek
400 N WAYNE RD,None
40079 HIGHWAY 27,None
10720 BARKER CYPRESS RD,None
595 N DOBSON RD,None
5950 BROADWAY BLVD,Garland South
14418 W MEEKER BLVD,None
5434 HIGHWAY 78,Sachse
18435 N. 19TH AVE.,None
8530 FM 78,Converse
8951 RUTHBY ST,Hobby
755 S PERRY ST UNIT 100,None
28516 N EL MIRAGE RD,Vistancia
12611 S GESSNER,Brays Oaks
2975 DELK RD SE,Marietta
1805 PARKE PLAZA CIR SW,None
11914 ASTORIA BLVD,None
602 S BROADWAY,None
23133 ORCHARD LAKE RD STE 102,None
225 BOSTON TPKE,Shrewsbury
7111 MEDICAL CENTER DR,Beeler-Manske
591 METACOM AVE,Bristol
2251 N SEMORAN BLVD,Baldwin Park
2150 W ORANGE GROVE RD,Casas Adobes
7417 W GRAND PKWY BLVD,None
1120 TAMIAMI TRL N,None
8300 WILCREST DR,Alief
2901 E BROAD ST,Mansfield
387 N ESTRELLA PKWY,Goodyear
3334 S HIGHWAY 155,None
5401 MONTANA AVE,Timber Wolf
6828 E BROWN RD,None
2001 S SHIELDS ST,None
